date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:34:08	1045/1045	---M--	200	added ('OK')	application/xml	date:Mon,%2017%20Dec%202018%2003:27:51%20GMT	http://shtheme.net/demosd/handylexo1/wp-includes/wlwmanifest.xml	C:/Users/ASUS/Desktop/template/handyman/shtheme.net/demosd/handylexo1/wp-includes/wlwmanifest.xml	(from http://shtheme.net/demosd/handylexo1/)
13:34:09	2240/2240	---MC-	200	added ('OK')	application/json	date:Tue,%2015%20Oct%202019%2012:34:09%20GMT	http://shtheme.net/demosd/handylexo1/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Fshtheme.net%2Fdemosd%2Fhandylexo1%2F	C:/Users/ASUS/Desktop/template/handyman/shtheme.net/demosd/handylexo1/index1358.json	(from http://shtheme.net/demosd/handylexo1/)
13:34:10	2334/2334	---MC-	200	added ('OK')	text/xml	date:Tue,%2015%20Oct%202019%2012:34:10%20GMT	http://shtheme.net/demosd/handylexo1/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Fshtheme.net%2Fdemosd%2Fhandylexo1%2F&format=xml	C:/Users/ASUS/Desktop/template/handyman/shtheme.net/demosd/handylexo1/index5891.php	(from http://shtheme.net/demosd/handylexo1/)
13:34:12	14194/14194	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Jan%202019%2002:07:27%20GMT	http://shtheme.net/demosd/handylexo1/wp-content/uploads/2019/01/logo3.png	C:/Users/ASUS/Desktop/template/handyman/shtheme.net/demosd/handylexo1/wp-content/uploads/2019/01/logo3.png	(from http://shtheme.net/demosd/handylexo1/)
13:34:13	37320/37320	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202019%2012:34:12%20GMT	http://shtheme.net/demosd/handylexo1/?page_id=362	C:/Users/ASUS/Desktop/template/handyman/shtheme.net/demosd/handylexo1/index30d1.html	(from http://shtheme.net/demosd/handylexo1/)
13:34:16	82779/82779	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202019%2012:34:14%20GMT	http://shtheme.net/demosd/handylexo1/?page_id=33	C:/Users/ASUS/Desktop/template/handyman/shtheme.net/demosd/handylexo1/indexbf8a.html	(from http://shtheme.net/demosd/handylexo1/)
13:34:17	135353/135353	---MC-	200	added ('OK')	application/json	date:Tue,%2015%20Oct%202019%2012:34:05%20GMT	http://shtheme.net/demosd/handylexo1/index.php?rest_route=/	C:/Users/ASUS/Desktop/template/handyman/shtheme.net/demosd/handylexo1/index52f0.json	(from http://shtheme.net/demosd/handylexo1/)
13:34:19	74618/74618	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202019%2012:34:17%20GMT	http://shtheme.net/demosd/handylexo1/?page_id=586	C:/Users/ASUS/Desktop/template/handyman/shtheme.net/demosd/handylexo1/indexe1bc.html	(from http://shtheme.net/demosd/handylexo1/)
13:34:21	66933/66933	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202019%2012:34:20%20GMT	http://shtheme.net/demosd/handylexo1/?page_id=628	C:/Users/ASUS/Desktop/template/handyman/shtheme.net/demosd/handylexo1/index5e2b.html	(from http://shtheme.net/demosd/handylexo1/)
13:34:28	61109/61109	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Dec%202018%2003:27:50%20GMT	http://shtheme.net/demosd/handylexo1/wp-content/uploads/2018/10/service-2-4-1.jpg	C:/Users/ASUS/Desktop/template/handyman/shtheme.net/demosd/handylexo1/wp-content/uploads/2018/10/service-2-4-1.jpg	(from http://shtheme.net/demosd/handylexo1/)
